pair,role,topic,domain,id,year,title,n_refs,n_authors,n_institutions,pct,cited_by_count,fwci,ref_age_median,ref_age_mean,ref_share_le3,ref_cross_topic,ref_cross_subfield,ref_cross_field,ref_cross_domain,ref_n_fields,ref_hot_median,ref_fwci_median,n_citers,citers_capped,cd_nok,cd5_nok,s2_influential,s2_method_cites,s2_ref_method_share,has_text,text_chars,pool_ref_age_median,pool_ref_share_le3,pool_ref_hot_median,ref_age_vs_pool,ref_share_le3_vs_pool,ref_hot_vs_pool,atyp_n_pairs,atyp_unscorable,atyp_median_z,atyp_p10_z,atyp_share_novel
42,case,Geotechnical Engineering and Soil Stabilization,Physical Sciences,W2158489246,2015,Stabilization of clayey soil using ultrafine palm oil fuel ash (POFA) and cement,42,4,1,0.99558274,179,18.2063,7,9.42,0.121,0.848,0.333,0.121,0.0,4,110,5.71,,False,,,6,14,,False,,,,,,,,,,,,
42,twin,Geotechnical Engineering and Soil Stabilization,Physical Sciences,W2330296675,2015,Comparisons of Water Behavior and Moisture Content between Rockwools and Coir used in Soilless Culture,10,2,1,0.2078026,13,0.0,9.0,10.7,0.4,1.0,0.8,0.8,0.5,5,54.0,1.98,,False,,,1,0,0.0,False,,,,,,,,,,,,
43,case,Microbial Natural Products and Biosynthesis,Health Sciences,W2609551972,2017,antiSMASH 4.0—improvements in chemistry prediction and gene cluster boundary identification,36,18,11,0.99996754,1230,146.857,2.0,4.39,0.667,0.417,0.417,0.417,0.417,3,266.0,14.97,,False,,,63,71,0.486,False,,8,0.254,92,-6.0,0.413,2.891,6,0,0.007,-0.143,0.5
43,twin,Microbial Natural Products and Biosynthesis,Health Sciences,W2775639144,2017,Mitochondrial Signs and Subcellular Imaging Provide Insight into the Antifungal Mechanism of Carabrone against Gaeumannomyces graminis var. tritici,49,6,3,0.69790618,19,0.5759,6,9.78,0.306,1.0,1.0,0.816,0.816,6,57,2.31,,False,,,0,1,,False,,8,0.254,92,-2,0.052,0.62,105,0,0.33,-0.6,0.267
44,case,Optical Network Technologies,Physical Sciences,W4241624517,2011,Design and fabrication of ultra-low crosstalk and low-loss multi-core fiber,9,5,1,0.99554262,548,20.9772,1,9.22,0.667,0.222,0.0,0.0,0.0,1,287,16.69,,False,,,64,70,,False,,4.0,0.486,53.0,-3.0,0.181,5.415,0,0,,,
44,twin,Optical Network Technologies,Physical Sciences,W2139416103,2011,Performance Evaluation of WDM Systems Through Multicanonical Monte Carlo Simulations,27,3,1,0.81670807,8,1.1654,8.0,17.81,0.154,0.577,0.577,0.538,0.0,4,76.0,3.31,,False,,,0,3,,False,,4.0,0.486,53.0,4.0,-0.332,1.434,28,17,0.0,-0.775,0.464
45,case,Chronic Kidney Disease and Diabetes,Health Sciences,W2159020137,2015,Glomerular Filtration Rate and Albuminuria for Detection and Staging of Acute and Chronic Kidney Disease in Adults,71,3,1,0.99875073,592,26.9541,3.0,3.67,0.571,0.457,0.143,0.043,0.029,4,609.0,11.88,,False,,,22,35,0.0,False,,,,,,,,,,,,
45,twin,Chronic Kidney Disease and Diabetes,Health Sciences,W2076173928,2015,Serum albumin-adjusted glycated albumin is a better indicator of glycaemic control in diabetic patients with end-stage renal disease not on haemodialysis,31,6,1,0.75220459,13,1.1231,8,8.87,0.194,0.806,0.806,0.129,0.129,3,214,10.59,,False,,,1,1,,False,,,,,,,,,,,,
46,case,Cryospheric studies and observations,Physical Sciences,W2048430163,2012,Climate change impacts on glaciers and runoff in Tien Shan (Central Asia),74,5,6,0.99872505,943,30.353,6.0,6.38,0.324,0.432,0.365,0.351,0.081,8,119.0,3.46,,False,,,83,3,,False,,,,,,,,,,,,
46,twin,Cryospheric studies and observations,Physical Sciences,W2075428046,2012,Changes in temperature and temperature gradients in the French Northern Alps during the last century,52,1,2,0.79712669,29,1.2474,11.0,16.56,0.058,0.788,0.615,0.615,0.115,9,259.0,5.45,,False,,,4,2,,False,,,,,,,,,,,,
47,case,Craniofacial Disorders and Treatments,Life Sciences,W2073744318,2010,3D digital stereophotogrammetry: a practical guide to facial image acquisition,69,4,4,0.95520642,267,4.7752,5.0,7.02,0.273,0.955,0.788,0.773,0.773,8,97.5,3.32,,False,,,6,31,0.0,False,,,,,,,,,,,,
47,twin,Craniofacial Disorders and Treatments,Life Sciences,W2082554197,2010,Absence of the Anterior Fontanelle Due to a Fontanellar Bone,6,2,1,0.71129311,18,0.5306,2.5,3.17,0.667,0.167,0.167,0.167,0.167,2,21.5,0.71,,False,,,3,1,,False,,,,,,,,,,,,
48,case,Obesity and Health Practices,Health Sciences,W2766424213,2017,Perceptions of Barriers to Effective Obesity Care: Results from the National ACTION Study,23,13,12,0.99895864,313,43.273,5.0,6.45,0.409,0.773,0.773,0.773,0.227,5,674.0,44.06,,False,,,15,5,,False,,,,,,,,,,,,
48,twin,Obesity and Health Practices,Health Sciences,W2585763612,2017,An Examination of How People Who Have Lost Weight Communicatively Negotiate Interpersonal Challenges to Weight Management,50,1,1,0.72909848,8,0.5409,11,14.47,0.102,0.796,0.796,0.735,0.571,7,275,11.07,,False,,,1,0,,False,,,,,,,,,,,,
49,case,Neuroscience of respiration and sleep,Life Sciences,W2792962347,2018,The interdependence of excitation and inhibition for the control of dynamic breathing rhythms,80,3,2,0.98567682,180,8.2289,7.0,10.78,0.263,0.237,0.237,0.062,0.0,3,106.0,3.18,,False,,,16,10,0.012,False,,,,,,,,,,,,
49,twin,Neuroscience of respiration and sleep,Life Sciences,W2891303987,2018,Intranasal fentanyl for respiratory distress in children and adolescents with life-limiting conditions,53,3,2,0.63243898,16,0.6698,10,11.11,0.075,1.0,1.0,1.0,0.981,2,76,4.66,,False,,,1,0,0.0,False,,,,,,,,,,,,
